Video 1,Video 2,Status,Error Message
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\ZB3.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\ZB3.mov,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\14.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\23.mov,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\55.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\33.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\33.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\55.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\23.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\14.mov,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\17.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\17.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\YA2.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\YA2.mov,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\19.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\19.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\26.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\10.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\10.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\26.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\56.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\35.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\35.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\56.mp4,Success,
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\XD7.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\ZD7.avi,Success,
