VideoPath1,VideoPath2,type
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\ZB3.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\ZB3.mov,same
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\14.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\23.mov,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\55.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\33.mp4,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\33.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\55.mp4,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\23.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\14.mov,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\17.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\17.mp4,same
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\YA2.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\YA2.mov,same
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\19.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\19.mp4,same
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\26.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\10.mp4,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\10.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\26.mp4,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\56.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\35.mp4,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\35.mp4,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\56.mp4,different
C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\XD7.mov,C:\Users\canoz\OneDrive\Masaüstü\EmotionVideos\ZD7.avi,different
